Workplace Zone Code,Supergroup Code,Supergroup Name,Group Code,Group Name
E33000086,C,Metro suburbs,C5,Professional home-workers in outer suburbs
E33000087,G,Servants of society,G3,Large scale education
E33000088,G,Servants of society,G3,Large scale education
E33000089,G,Servants of society,G1,Public administration and security
E33000090,G,Servants of society,G3,Large scale education
E33000091,E,Manufacturing and distribution,E3,Business parks
E33000092,E,Manufacturing and distribution,E3,Business parks
E33000093,G,Servants of society,G1,Public administration and security
E33000094,A,Retail,A4,Traditional high streets
E33000095,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000096,E,Manufacturing and distribution,E3,Business parks
E33000097,A,Retail,A4,Traditional high streets
E33000098,G,Servants of society,G1,Public administration and security
E33000099,A,Retail,A5,Shop until you drop
E33000100,A,Retail,A5,Shop until you drop
E33000101,A,Retail,A4,Traditional high streets
E33000102,A,Retail,A6,"Eat, drink and be merry"
E33000103,A,Retail,A4,Traditional high streets
E33000104,A,Retail,A6,"Eat, drink and be merry"
E33000105,A,Retail,A5,Shop until you drop
E33000106,A,Retail,A6,"Eat, drink and be merry"
E33000107,B,City and business parks,B2,Administrative centres 
E33000108,G,Servants of society,G1,Public administration and security
E33000109,A,Retail,A5,Shop until you drop
E33000110,A,Retail,A6,"Eat, drink and be merry"
E33000111,B,City and business parks,B4,Regional business centres
E33000112,G,Servants of society,G3,Large scale education
E33000113,G,Servants of society,G2,Healthcare and public administration
E33000114,G,Servants of society,G2,Healthcare and public administration
E33000115,A,Retail,A3,Multiethnic urban high streets
E33000116,A,Retail,A5,Shop until you drop
E33000117,G,Servants of society,G3,Large scale education
E33000118,G,Servants of society,G2,Healthcare and public administration
E33000119,G,Servants of society,G1,Public administration and security
E33000120,G,Servants of society,G1,Public administration and security
E33000121,A,Retail,A4,Traditional high streets
E33000122,A,Retail,A2,Market squares
E33000123,A,Retail,A6,"Eat, drink and be merry"
E33000124,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000125,G,Servants of society,G3,Large scale education
E33000126,B,City and business parks,B4,Regional business centres
E33000127,G,Servants of society,G1,Public administration and security
E33000128,A,Retail,A6,"Eat, drink and be merry"
E33000129,B,City and business parks,B4,Regional business centres
E33000130,A,Retail,A3,Multiethnic urban high streets
E33000131,G,Servants of society,G2,Healthcare and public administration
E33000132,B,City and business parks,B5,Science and business parks
E33000133,G,Servants of society,G2,Healthcare and public administration
E33000134,E,Manufacturing and distribution,E3,Business parks
E33000135,E,Manufacturing and distribution,E3,Business parks
E33000136,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33000137,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33000138,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33000139,E,Manufacturing and distribution,E3,Business parks
E33000140,E,Manufacturing and distribution,E3,Business parks
E33000141,E,Manufacturing and distribution,E3,Business parks
E33000142,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000143,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33000144,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33000145,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33000146,A,Retail,A1,Low density wholesale and retail
E33000147,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000148,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33000149,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000150,G,Servants of society,G1,Public administration and security
E33000151,G,Servants of society,G1,Public administration and security
E33000152,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33000153,B,City and business parks,B4,Regional business centres
E33000154,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33000155,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33000156,A,Retail,A1,Low density wholesale and retail
E33000157,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33000158,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33000159,B,City and business parks,B4,Regional business centres
E33000160,B,City and business parks,B4,Regional business centres
E33000161,B,City and business parks,B4,Regional business centres
E33000162,B,City and business parks,B4,Regional business centres
E33000163,G,Servants of society,G1,Public administration and security
E33000164,A,Retail,A4,Traditional high streets
E33000165,G,Servants of society,G1,Public administration and security
E33000166,D,Suburban services,D1,Non-metropolitan suburban areas
E33000167,A,Retail,A4,Traditional high streets
E33000168,G,Servants of society,G1,Public administration and security
E33000169,G,Servants of society,G1,Public administration and security
E33000170,A,Retail,A2,Market squares
E33000171,E,Manufacturing and distribution,E3,Business parks
E33000172,G,Servants of society,G2,Healthcare and public administration
E33000173,G,Servants of society,G1,Public administration and security
E33000174,G,Servants of society,G1,Public administration and security
E33000175,G,Servants of society,G3,Large scale education
E33000176,G,Servants of society,G1,Public administration and security
E33000177,A,Retail,A2,Market squares
E33000178,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000179,A,Retail,A2,Market squares
E33000180,A,Retail,A4,Traditional high streets
E33000181,A,Retail,A1,Low density wholesale and retail
E33000182,G,Servants of society,G1,Public administration and security
E33000183,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000184,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000185,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33000186,E,Manufacturing and distribution,E3,Business parks
E33000187,E,Manufacturing and distribution,E3,Business parks
E33000188,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000189,G,Servants of society,G1,Public administration and security
E33000190,G,Servants of society,G2,Healthcare and public administration
E33000191,A,Retail,A1,Low density wholesale and retail
E33000192,A,Retail,A4,Traditional high streets
E33000193,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33000194,A,Retail,A1,Low density wholesale and retail
E33000195,E,Manufacturing and distribution,E3,Business parks
E33000196,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000197,E,Manufacturing and distribution,E3,Business parks
E33000198,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000199,A,Retail,A1,Low density wholesale and retail
E33000200,A,Retail,A4,Traditional high streets
E33000201,G,Servants of society,G1,Public administration and security
E33000202,A,Retail,A1,Low density wholesale and retail
E33000203,A,Retail,A4,Traditional high streets
E33000204,G,Servants of society,G1,Public administration and security
E33000205,G,Servants of society,G1,Public administration and security
E33000206,A,Retail,A4,Traditional high streets
E33000207,A,Retail,A1,Low density wholesale and retail
E33000208,E,Manufacturing and distribution,E3,Business parks
E33000209,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33000210,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33000211,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33000212,G,Servants of society,G1,Public administration and security
E33000213,E,Manufacturing and distribution,E3,Business parks
E33000214,A,Retail,A4,Traditional high streets
E33000215,A,Retail,A4,Traditional high streets
E33000216,A,Retail,A1,Low density wholesale and retail
E33000217,A,Retail,A4,Traditional high streets
E33000218,A,Retail,A4,Traditional high streets
E33000219,A,Retail,A1,Low density wholesale and retail
E33000220,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33000221,A,Retail,A1,Low density wholesale and retail
E33000222,G,Servants of society,G1,Public administration and security
E33000223,A,Retail,A1,Low density wholesale and retail
E33000224,G,Servants of society,G2,Healthcare and public administration
E33000225,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000226,G,Servants of society,G2,Healthcare and public administration
E33000227,G,Servants of society,G3,Large scale education
E33000228,E,Manufacturing and distribution,E2,Industrial units
E33000229,B,City and business parks,B5,Science and business parks
E33000230,G,Servants of society,G1,Public administration and security
E33000231,G,Servants of society,G1,Public administration and security
E33000232,A,Retail,A4,Traditional high streets
E33000233,A,Retail,A4,Traditional high streets
E33000234,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33000235,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000236,G,Servants of society,G1,Public administration and security
E33000237,G,Servants of society,G1,Public administration and security
E33000238,E,Manufacturing and distribution,E3,Business parks
E33000239,A,Retail,A1,Low density wholesale and retail
E33000240,G,Servants of society,G3,Large scale education
E33000241,G,Servants of society,G1,Public administration and security
E33000242,A,Retail,A4,Traditional high streets
E33000243,G,Servants of society,G1,Public administration and security
E33000244,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33000245,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000246,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33000247,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000248,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33000249,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000250,G,Servants of society,G1,Public administration and security
E33000251,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33000252,A,Retail,A3,Multiethnic urban high streets
E33000253,G,Servants of society,G1,Public administration and security
E33000254,A,Retail,A4,Traditional high streets
E33000255,G,Servants of society,G1,Public administration and security
E33000256,G,Servants of society,G2,Healthcare and public administration
E33000257,A,Retail,A4,Traditional high streets
E33000258,G,Servants of society,G1,Public administration and security
E33000259,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000260,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33000261,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33000262,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33000263,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33000264,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33000265,E,Manufacturing and distribution,E3,Business parks
E33000266,E,Manufacturing and distribution,E3,Business parks
E33000267,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000268,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000269,G,Servants of society,G2,Healthcare and public administration
E33000270,A,Retail,A2,Market squares
E33000271,G,Servants of society,G1,Public administration and security
E33000272,A,Retail,A1,Low density wholesale and retail
E33000273,G,Servants of society,G1,Public administration and security
E33000274,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33000275,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33000276,G,Servants of society,G1,Public administration and security
E33000277,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33000278,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000279,G,Servants of society,G3,Large scale education
E33000280,G,Servants of society,G1,Public administration and security
E33000281,A,Retail,A2,Market squares
E33000282,G,Servants of society,G3,Large scale education
E33000283,A,Retail,A2,Market squares
E33000284,A,Retail,A1,Low density wholesale and retail
E33000285,A,Retail,A4,Traditional high streets
E33000286,A,Retail,A4,Traditional high streets
E33000287,A,Retail,A4,Traditional high streets
E33000288,G,Servants of society,G2,Healthcare and public administration
E33000289,A,Retail,A4,Traditional high streets
E33000290,A,Retail,A2,Market squares
E33000291,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000292,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000293,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33000294,G,Servants of society,G1,Public administration and security
E33000295,G,Servants of society,G2,Healthcare and public administration
E33000296,A,Retail,A1,Low density wholesale and retail
E33000297,G,Servants of society,G3,Large scale education
E33000298,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33000299,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000300,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000301,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000302,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000303,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33000304,A,Retail,A5,Shop until you drop
E33000305,A,Retail,A1,Low density wholesale and retail
E33000306,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000307,A,Retail,A1,Low density wholesale and retail
E33000308,E,Manufacturing and distribution,E3,Business parks
E33000309,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33000310,G,Servants of society,G1,Public administration and security
E33000311,A,Retail,A1,Low density wholesale and retail
E33000312,G,Servants of society,G1,Public administration and security
E33000313,G,Servants of society,G2,Healthcare and public administration
E33000314,A,Retail,A4,Traditional high streets
E33000315,G,Servants of society,G1,Public administration and security
E33000316,G,Servants of society,G2,Healthcare and public administration
E33000317,G,Servants of society,G1,Public administration and security
E33000318,A,Retail,A4,Traditional high streets
E33000319,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000320,A,Retail,A2,Market squares
E33000321,G,Servants of society,G1,Public administration and security
E33000322,A,Retail,A2,Market squares
E33000323,A,Retail,A4,Traditional high streets
E33000324,G,Servants of society,G1,Public administration and security
E33000325,G,Servants of society,G1,Public administration and security
E33000326,A,Retail,A1,Low density wholesale and retail
E33000327,G,Servants of society,G1,Public administration and security
E33000328,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000329,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33000330,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000331,G,Servants of society,G1,Public administration and security
E33000332,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000333,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000334,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000335,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33000336,A,Retail,A2,Market squares
E33000337,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000338,F,Rural,F1,Town fringe countryside 
E33000339,A,Retail,A2,Market squares
E33000340,A,Retail,A1,Low density wholesale and retail
E33000341,A,Retail,A2,Market squares
E33000342,E,Manufacturing and distribution,E3,Business parks
E33000343,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000344,G,Servants of society,G3,Large scale education
E33000345,G,Servants of society,G3,Large scale education
E33000346,A,Retail,A1,Low density wholesale and retail
E33000347,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33000348,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000349,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33000350,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33000351,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000352,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000353,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33000354,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000355,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000356,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33000357,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000358,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000359,G,Servants of society,G2,Healthcare and public administration
E33000360,G,Servants of society,G2,Healthcare and public administration
E33000361,A,Retail,A1,Low density wholesale and retail
E33000362,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000363,E,Manufacturing and distribution,E3,Business parks
E33000364,A,Retail,A4,Traditional high streets
E33000365,A,Retail,A6,"Eat, drink and be merry"
E33000366,G,Servants of society,G1,Public administration and security
E33000367,A,Retail,A4,Traditional high streets
E33000368,G,Servants of society,G1,Public administration and security
E33000369,A,Retail,A4,Traditional high streets
E33000370,A,Retail,A4,Traditional high streets
E33000371,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33000372,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33000373,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000374,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000375,A,Retail,A1,Low density wholesale and retail
E33000376,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000377,A,Retail,A4,Traditional high streets
E33000378,G,Servants of society,G1,Public administration and security
E33000379,G,Servants of society,G1,Public administration and security
E33000380,G,Servants of society,G1,Public administration and security
E33000381,G,Servants of society,G1,Public administration and security
E33000382,A,Retail,A4,Traditional high streets
E33000383,G,Servants of society,G1,Public administration and security
E33000384,A,Retail,A4,Traditional high streets
E33000385,G,Servants of society,G1,Public administration and security
E33000386,A,Retail,A4,Traditional high streets
E33000387,G,Servants of society,G1,Public administration and security
E33000388,A,Retail,A4,Traditional high streets
E33000389,A,Retail,A4,Traditional high streets
E33000390,E,Manufacturing and distribution,E3,Business parks
E33000391,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000392,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33000393,A,Retail,A1,Low density wholesale and retail
E33000394,A,Retail,A4,Traditional high streets
E33000395,A,Retail,A1,Low density wholesale and retail
E33000396,G,Servants of society,G3,Large scale education
E33000397,A,Retail,A1,Low density wholesale and retail
E33000398,A,Retail,A1,Low density wholesale and retail
E33000399,B,City and business parks,B4,Regional business centres
E33000400,G,Servants of society,G1,Public administration and security
E33000401,G,Servants of society,G3,Large scale education
E33000402,G,Servants of society,G1,Public administration and security
E33000403,G,Servants of society,G1,Public administration and security
E33000404,G,Servants of society,G1,Public administration and security
E33000405,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000406,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33000407,A,Retail,A4,Traditional high streets
E33000408,A,Retail,A2,Market squares
E33000409,A,Retail,A2,Market squares
E33000410,A,Retail,A4,Traditional high streets
E33000411,A,Retail,A4,Traditional high streets
E33000412,A,Retail,A4,Traditional high streets
E33000413,A,Retail,A4,Traditional high streets
E33000414,A,Retail,A4,Traditional high streets
E33000415,A,Retail,A2,Market squares
E33000416,G,Servants of society,G1,Public administration and security
E33000417,G,Servants of society,G1,Public administration and security
E33000418,G,Servants of society,G1,Public administration and security
E33000419,A,Retail,A6,"Eat, drink and be merry"
E33000420,A,Retail,A1,Low density wholesale and retail
E33000421,G,Servants of society,G1,Public administration and security
E33000422,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33000423,A,Retail,A4,Traditional high streets
E33000424,A,Retail,A4,Traditional high streets
E33000425,A,Retail,A4,Traditional high streets
E33000426,A,Retail,A4,Traditional high streets
E33000427,A,Retail,A5,Shop until you drop
E33000428,G,Servants of society,G1,Public administration and security
E33000429,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000430,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33000431,G,Servants of society,G1,Public administration and security
E33000432,A,Retail,A1,Low density wholesale and retail
E33000433,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000434,A,Retail,A2,Market squares
E33000435,F,Rural,F3,Rural with mining or quarrying
E33000436,A,Retail,A2,Market squares
E33000437,A,Retail,A6,"Eat, drink and be merry"
E33000438,A,Retail,A2,Market squares
E33000439,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33000440,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33000441,E,Manufacturing and distribution,E3,Business parks
E33000442,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33000443,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33000444,E,Manufacturing and distribution,E3,Business parks
E33000445,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000446,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000447,G,Servants of society,G3,Large scale education
E33000448,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33000449,G,Servants of society,G2,Healthcare and public administration
E33000450,G,Servants of society,G1,Public administration and security
E33000451,G,Servants of society,G2,Healthcare and public administration
E33000452,G,Servants of society,G2,Healthcare and public administration
E33000453,G,Servants of society,G1,Public administration and security
E33000454,A,Retail,A1,Low density wholesale and retail
E33000455,E,Manufacturing and distribution,E3,Business parks
E33000456,E,Manufacturing and distribution,E3,Business parks
E33000457,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000458,G,Servants of society,G1,Public administration and security
E33000459,G,Servants of society,G1,Public administration and security
E33000460,A,Retail,A2,Market squares
E33000461,A,Retail,A4,Traditional high streets
E33000462,G,Servants of society,G3,Large scale education
E33000463,A,Retail,A2,Market squares
E33000464,A,Retail,A2,Market squares
E33000465,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000466,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000467,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33000468,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000469,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33000470,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000471,G,Servants of society,G1,Public administration and security
E33000472,G,Servants of society,G1,Public administration and security
E33000473,A,Retail,A2,Market squares
E33000474,A,Retail,A2,Market squares
E33000475,G,Servants of society,G1,Public administration and security
E33000476,A,Retail,A4,Traditional high streets
E33000477,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33000478,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33000479,G,Servants of society,G1,Public administration and security
E33000480,F,Rural,F1,Town fringe countryside 
E33000481,A,Retail,A1,Low density wholesale and retail
E33000482,G,Servants of society,G2,Healthcare and public administration
E33000483,A,Retail,A4,Traditional high streets
E33000484,G,Servants of society,G1,Public administration and security
E33000485,F,Rural,F3,Rural with mining or quarrying
E33000486,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33000487,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33000488,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000489,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33000490,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000491,G,Servants of society,G1,Public administration and security
E33000492,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000493,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000494,A,Retail,A1,Low density wholesale and retail
E33000495,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000496,A,Retail,A1,Low density wholesale and retail
E33000497,E,Manufacturing and distribution,E4,"Manufacturing, energy and utilities"
E33000498,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000499,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000500,A,Retail,A4,Traditional high streets
E33000501,E,Manufacturing and distribution,E3,Business parks
E33000502,G,Servants of society,G1,Public administration and security
E33000503,E,Manufacturing and distribution,E1,Mining and quarrying facilities
E33000504,G,Servants of society,G3,Large scale education
E33000505,G,Servants of society,G3,Large scale education
E33000506,G,Servants of society,G3,Large scale education
E33000507,B,City and business parks,B2,Administrative centres 
E33000508,A,Retail,A6,"Eat, drink and be merry"
E33000509,A,Retail,A1,Low density wholesale and retail
E33000510,G,Servants of society,G3,Large scale education
E33000511,A,Retail,A6,"Eat, drink and be merry"
E33000512,G,Servants of society,G3,Large scale education
E33000513,G,Servants of society,G1,Public administration and security
E33000514,G,Servants of society,G1,Public administration and security
E33000515,A,Retail,A1,Low density wholesale and retail
