"LSOA11","area_supergroup","area_group","gas_centile","elec_centile","drive_centile","median_household_income","mean_household.size","RUC11","acc_town_p15min_PT_walk","Crr_EE","postcodes"
"E01025470","8 Suburban living","8b Ageing suburbanites",72,81,99,"42138",2.8,"Urban major conurbation",100,63.8863636363636,"WN8 6DZ, WN8 6EU, WN8 6EW, WN8 6EX, WN8 6EY, WN8 6EZ, WN8 6SF, WN8 6SH, WN8 6SJ, WN8 6SL, WN8 6SN, WN8 6SP, WN8 6TA, WN8 6TB, WN8 6TD, WN8 6UE, WN8 6UG, WN8 6US, WN8 6UT, WN8 6UU, WN8 6UW, WN8 6UX, WN8 6UY, WN8 6UZ, WN8 6XS, WN8 6XW, WN8 7SH"
"E01016607","8 Suburban living","8a Affluent communities",100,100,98,"91555.5",2.7,"Urban city and town",100,66.6724137931034,"SL5 9AG, SL5 9AU, SL5 9AX, SL5 9AY, SL5 9AZ, SL5 9BA, SL5 9BB, SL5 9BD, SL5 9BG, SL5 9BH, SL5 9BN, SL5 9BQ, SL5 9DT, SL5 9DU, SL5 9DX, SL5 9EP, SL5 9ET, SL5 9EZ, SL5 9FQ, SL5 9FW, SL5 9GG, SL5 9HA, SL5 9HB, SL5 9HD, SL5 9HG, SL5 9HH, SL5 9HJ, SL5 9HL, SL5 9HN, SL5 9HP, SL5 9HS, SL5 9HT, SL5 9HU, SL5 9HW, SL5 9HX, SL5 9JD, SL5 9JE, SL5 9JF, SL5 9JS, SL5 9LJ, SL5 9LL, SL5 9LP, SL5 9LS, SL5 9SP, SL5 9UX, SL5 9UY, SL5 9UZ"
"E01017821","3 Ethnically diverse professionals","3b Asian traits",100,100,98,"75110",2.7,"Urban city and town",100,69.232044198895,"SL9 7DJ, SL9 7DL, SL9 7DS, SL9 7DW, SL9 7EY, SL9 7EZ, SL9 7FD, SL9 7FE, SL9 7HA, SL9 7HE, SL9 7JU, SL9 7JY, SL9 7JZ, SL9 7LN, SL9 7LU, SL9 7LW, SL9 7LX, SL9 7LZ, SL9 7NA, SL9 7NB, SL9 7ND, SL9 7NE, SL9 7NF, SL9 7NG, SL9 7NH, SL9 7NJ, SL9 7NP, SL9 7NR, SL9 7NS, SL9 7PB, SL9 7PD, SL9 7PE, SL9 7PF, SL9 7PG, SL9 7PL, SL9 7PN, SL9 7PP, SL9 7PW, SL9 7PX, SL9 7PY, SL9 7RT, SL9 8SX, SL9 8SY, SL9 8SZ, SL9 8TA, SL9 8TB, SL9 8TD, SL9 8TE"
"E01017819","8 Suburban living","8a Affluent communities",100,100,98,"109417.5",2.9,"Urban city and town",100,67.6666666666667,"SL9 0NJ, SL9 0NL, SL9 0PU, SL9 0PX, SL9 0PY, SL9 0PZ, SL9 0QD, SL9 0QF, SL9 7AB, SL9 8AE, SL9 8AF, SL9 8AG, SL9 8AL, SL9 8AN, SL9 8AP, SL9 8AQ, SL9 8AR, SL9 8AS, SL9 8AT, SL9 8AU, SL9 8AW, SL9 8AX, SL9 8AY, SL9 8AZ, SL9 8BA, SL9 8BB, SL9 8BD, SL9 8BE, SL9 8BH, SL9 8BJ, SL9 8BL, SL9 8DA, SL9 8DB, SL9 8DD, SL9 8DE, SL9 8DF, SL9 8DG, SL9 8DH, SL9 8DJ, SL9 8DL, SL9 8DN, SL9 8DP, SL9 8DQ, SL9 8DR, SL9 8DS, SL9 8DW, SL9 8EY, SL9 8FE, SL9 8FG, SL9 8FW, SL9 8HD, SL9 8HN, SL9 8HQ, SL9 8JD, SL9 8JG, SL9 8JH, SL9 8JJ, SL9 8JQ, SL9 8LD, SL9 8PY, SL9 8QD, SL9 8QE, SL9 8QF, SL9 8QG, SL9 8QQ, SL9 8QT"
"E01030944","8 Suburban living","8a Affluent communities",98,99,98,"86594",2.8,"Urban major conurbation",62.5730994152047,64.4503816793893,"GU212FH, GU212QX, GU212QY, GU212QZ, GU212RP, GU220QS, GU220QT, GU220QU, GU220QX, GU220QY, GU220QZ, GU220RA, GU220RB, GU220RD, GU220RE, GU220RF, GU220RH, GU220RJ, GU220RQ, GU240BH, GU240BL, GU240ES, GU240EX, GU240EY, GU240EZ, GU240HA, GU240HB, GU240HD, GU240HE, GU240HH, GU240HL, GU3 3PT, GU3 3PU, GU3 3PX, GU3 3PY, GU3 3PZ, GU3 3QB, GU3 3QD, GU3 3QE, GU3 3QF, GU3 3QG, GU3 3QJ"
"E01023460","8 Suburban living","8c Comfortable suburbia",95,91,98,"57592.5",2.8,"Urban city and town",100,64.3198380566802,"CM227PA, CM227QA, CM233EH, CM233EJ, CM233EL, CM233EN, CM233EP, CM233ER, CM233ES, CM233ET, CM233EU, CM233EX, CM233EY, CM233HA, CM233HB, CM233HD, CM233HE, CM233HF, CM233HG, CM233LR, CM233LU, CM234AA, CM234AB, CM234AD, CM234AE, CM234AJ, CM234AL, CM234AN, CM234AP, CM234AR, CM234AS, CM234AW, CM234AZ, CM234BG, CM234PT, CM234QZ"
"E01021383","8 Suburban living","8c Comfortable suburbia",94,91,98,"64631",3,"Urban city and town",50.5660377358491,66.7908496732026,"CM7 2AS, CM7 2BD, CM7 2BE, CM7 2BF, CM7 2BG, CM7 2BN, CM7 2BQ, CM776TD, CM776TE, CM776TF, CM777AA, CM777AB, CM777AF, CM777AG, CM777AH, CM777AJ, CM777AL, CM777AR, CM777BN, CM777DF, CM777FP, CM777FQ, CM777FR, CM777FS, CM777GF, CM777GG, CM777GH, CM777GJ, CM777GP, CM777GR, CM777HB, CM777JS, CM777LJ, CM777PP, CM777PU, CM777PX, CM777PY, CM777PZ, CM777QD, CM777QE, CM777QF, CM777QU, CM777WN, CM777XJ, CM777XN, CM777XR, CM777XS, CM777XT, CM777XU, CM777ZB, CM777ZD, CM777ZP, CM777ZU"
"E01018176","8 Suburban living","8b Ageing suburbanites",91,84,98,"60607",2.6,"Urban city and town",100,66.3684210526316,"PE197DA, PE197DB, PE197DE, PE197FN, PE197GB, PE197GD, PE197GE, PE197GG, PE197GH, PE197GJ, PE197GL, PE197LE, PE197LG, PE197LH, PE197LJ, PE197LN, PE197LP, PE197LQ, PE197LR, PE197LS, PE197LT, PE197LU, PE197LW, PE197LX, PE197LY, PE197QR, PE197QS, PE197QT, PE197QU, PE197QY, PE197QZ, PE197RR, PE197RS, PE197RT, PE197RU"
"E01023454","8 Suburban living","8c Comfortable suburbia",86,78,97,"65475",2.6,"Urban city and town",75.8620689655172,66.664,"CM232BX, CM232FT, CM232GL, CM232GN, CM232GP, CM232GQ, CM232HF, CM232PL, CM232PN, CM232PS, CM232PW, CM232PX, CM232QA, CM232QB, CM232QN, CM232RP, CM232RR, CM232RU, CM232UT, CM232UW, CM232UY, CM232WJ, CM232WL, CM232XD, CM232XG, CM232XJ, CM234BX, CM234BY, CM234BZ, CM234DA, CM234DB, CM234DD, CM234DE, CM234DF, CM234NZ, CM234PB, CM234PD, CM234PE, CM234PF, CM234PG, CM234PH, CM234PJ, CM234PL, CM234PP, CM234PQ, CM234PR, CM234PW, CM234QN"
"E01016222","8 Suburban living","8c Comfortable suburbia",80,82,97,"77707",2.5,"Urban city and town",77.6991150442478,64.5294117647059,"RG129FD, RG129FE, RG129FF, RG129FG, RG129FJ, RG129FQ, RG129QL, RG129RX, RG129RY, RG129RZ, RG129YJ, RG129YN, RG129YR, RG129YT, RG129YU, RG129YW, RG129YX"
"E01025799","8 Suburban living","8c Comfortable suburbia",73,76,97,"62725",3,"Urban city and town",74.4347826086957,70.7041564792176,"LE167FP, LE167FQ, LE167NU, LE167QU, LE167XD, LE167XE, LE167XF, LE167XG, LE167XH, LE167XJ, LE167XL, LE167XN, LE167XP, LE167XQ, LE167XR, LE167XS, LE167XT, LE167XU, LE167XW, LE167XY, LE167XZ, LE167YE, LE167YF, LE167YH, LE168EH, LE168EJ, LE168EL, LE168EN, LE168EP, LE168ER, LE168EX, LE168EY, LE168FX, LE168FY, LE168FZ, LE168JA, LE168JB, LE168JE, LE168JF, LE168JR"
"E01027174","8 Suburban living","8c Comfortable suburbia",71,75,97,"45202.5",2.6,"Urban city and town",75.6802721088435,64.3813953488372,"NN3 5DD, NN3 5EQ, NN3 5ER, NN3 5HL, NN3 5HN, NN3 5HP, NN3 5HR, NN3 5HS, NN3 5HT, NN3 5HY, NN3 5HZ, NN3 5JF, NN3 5JH, NN3 5JJ, NN3 5JL, NN3 5JS, NN3 5JT, NN3 5JU, NN3 5JX, NN3 5JY, NN3 5LY, NN3 5LZ"
"E01017797","8 Suburban living","8a Affluent communities",100,100,96,"85727.5",2.8,"Urban city and town",100,68.2375478927203,"HP9 1EF, HP9 1EG, HP9 1GE, HP9 1HH, HP9 1HL, HP9 1HN, HP9 1HP, HP9 1HQ, HP9 1HR, HP9 1HS, HP9 1HT, HP9 1HU, HP9 1HW, HP9 1HZ, HP9 1JG, HP9 1JH, HP9 1JJ, HP9 1JL, HP9 1JN, HP9 1JP, HP9 1JQ, HP9 1JW, HP9 1NN, HP9 1NR, HP9 1PG, HP9 1PJ, HP9 1PL, HP9 1PN, HP9 1PP, HP9 1PQ, HP9 1PR, HP9 1PS, HP9 1PW, HP9 1TH, HP9 1TL, HP9 2FL, HP9 2NB, HP9 2NE, HP9 2NF, HP9 2NG, HP9 2NJ, HP9 2NQ, HP9 2PH"
"E01030822","2 Countryside living","2a Ageing rural neighbourhoods",99,98,96,"70390",2.6,"Urban city and town",63.558106169297,65.1557177615572,"RH192DL, RH192ED, RH192EE, RH192GW, RH192GX, RH192GY, RH192HQ, RH192HZ, RH192JF, RH192JG, RH192JJ, RH192JP, RH192JR, RH192JT, RH192JU, RH192JW, RH192JX, RH192JZ, RH192LA, RH192LB, RH192LD, RH192LE, RH192LF, RH192LH, RH192LN, RH192LP, RH192LQ, RH192LR, RH192LS, RH192LT, RH192LU, RH192LW, RH192LX, RH192LY, RH192LZ, RH192NA, RH192NB, RH192ND, RH192NE, RH192NF, RH192NG, RH192NH, RH192NQ, RH192NW, RH192RR, RH192ST, RH193EH, RH193EJ, RH193EL, RH193EQ, RH193EW, RH193EX, RH193JB, RH193NR, RH193NS, RH193NT, RH193NU, RH193PR, RH193PS, RH193PT, RH193PU, RH193PX, RH7 6AW, RH7 6GF, RH7 6NF, RH7 6NG, RH7 6NH, RH7 6NJ, RH7 6NL, RH7 6NP, RH7 6NQ, RH7 6PA, RH7 6PB, RH7 6PD, RH7 6PL, RH7 6QL, RH7 6QN, RH7 6QP, RH7 6QR, RH7 6QS, RH7 6QT, RH7 6QU, RH7 6QW, RH7 6QX, RH7 6RA, TN8 5QS, TN8 5QT, TN8 5QU, TN8 5QX, TN8 5QY, TN8 5RA, TN8 5RD, TN8 7LA"
"E01017607","8 Suburban living","8a Affluent communities",98,90,96,"64604",2.6,"Urban city and town",75.5681818181818,63.8350515463918,"LU7 1BY, LU7 1FT, LU7 1FW, LU7 2TF, LU7 3BQ, LU7 3FW, LU7 3HB, LU7 3HD, LU7 3HJ, LU7 3HL, LU7 3HT, LU7 3HU, LU7 3HX, LU7 3HY, LU7 3JB, LU7 3JE, LU7 3JF, LU7 3JG, LU7 3JL, LU7 3JN, LU7 3JQ, LU7 3JR, LU7 3JS, LU7 3JT, LU7 3JW"
"E01016510","3 Ethnically diverse professionals","3b Asian traits",98,82,96,"66204.5",3.2,"Urban city and town",75.5178907721281,73.7384615384615,"SL2 5NP, SL3 7AA, SL3 7AB, SL3 7AE, SL3 7AF, SL3 7AH, SL3 7AJ, SL3 7AL, SL3 7AN, SL3 7AP, SL3 7AQ, SL3 7AR, SL3 7AS, SL3 7AT, SL3 7AU, SL3 7AW, SL3 7AX, SL3 7AY, SL3 7AZ, SL3 7BA, SL3 7BB, SL3 7BD, SL3 7BE, SL3 7BL, SL3 7BN, SL3 7BR, SL3 7BS, SL3 7BT, SL3 7BU, SL3 7BW, SL3 7BX, SL3 7DX, SL3 7ED, SL3 7FH, SL3 7FJ, SL3 7FS, SL3 7FT, SL3 7FU, SL3 7TB"
"E01017628","8 Suburban living","8a Affluent communities",94,87,96,"63934",2.5,"Urban city and town",73.6936936936937,66.1204013377926,"HP225AL, HP225BN, HP225PJ, HP225PS, HP225QU, HP225QZ, HP225RR, HP225RX, HP225SB, HP225SD, HP225SE, HP225SF, HP225TD, HP225TE, HP225TH, HP225TQ, HP225TS, HP225TT, HP225WL, HP225WQ, HP225WT, HP225WU, HP225WW, HP225WX, HP225WY, HP225XU, HP225XY, HP225XZ, HP225YE, HP225YH, HP225YJ, HP225YY, HP225ZB, HP225ZE, HP226BD"
"E01010251","8 Suburban living","8c Comfortable suburbia",93,83,96,"51174",2.7,"Urban major conurbation",100,64.7649402390438,"WS8 7EY, WS9 8XA, WS9 9DA, WS9 9DB, WS9 9DE, WS9 9DF, WS9 9DR, WS9 9EP, WS9 9ER, WS9 9ES, WS9 9ET, WS9 9EU, WS9 9JH, WS9 9NX, WS9 9PD, WS9 9PG, WS9 9RA, WS9 9RB, WS9 9RG, WS9 9RH, WS9 9RJ, WS9 9RL, WS9 9RN, WS9 9RQ"
"E01016186","2 Countryside living","2b Prospering countryside life",89,92,96,"60272",2.5,"Urban city and town",55.2112676056338,64.4844559585492,"RG422PD, RG422PG, RG422PH, RG422PJ, RG422PL, RG422PN, RG422PP, RG422PQ, RG422PR, RG422PS, RG422PW, RG422PZ, RG422QA, RG422QB, RG422QD, RG422QE, RG422QF, RG423AT, RG423DH, RG423DJ, RG423DL, RG424GT, RG424GW, RG424GY, RG424HD, RG424HE, RG424HS, RG424HT, RG424HX, RG424JP, RG424LY, RG424NA, RG424SR, RG424SS, RG424ST, RG425AA, RG425AB, RG425AD, RG425AE, RG425AF, RG425AG, RG425AH, RG425AJ, RG425AL, RG425AN, RG425AP, RG425AQ, RG425AR, RG425AS, RG425HW, RG425HY, RG425HZ, RG425JD, RG425JF, RG425JJ, RG425JL, RG425JN, RG425JP, RG425JR, RG425JS, RG425JT, RG425JU, RG425JW, RG425JX, RG425JY, RG425JZ, RG425LA, RG425LB, RG425LD, RG425LG, RG425LH, RG425LJ, RG425LN, RG425LQ, RG425LT, RG425LZ, RG425NE, RG425NG, RG425NH, RG425NL, RG425NN, RG425NP, RG425NR, RG425NS, RG425NT, RG425NW, RG425PE, RG425PF, RG425PG, RG425PH, RG425PJ, RG425PL, RG425PN, RG425PP, RG425PR, RG425PS, RG425PT, RG425PU, RG425PX, RG425PY, RG425QA, RG425QB, RG425QD, RG425QH, RG425QJ, RG425QL, RG425QN, RG425QP, RG425QT, RG425QU, RG425QX, RG425QY, RG425QZ, RG425RH, RG425RJ, RG425RP, RG425RR, RG425RS, RG425RT, RG425RX, RG425RY, RG425SA, RG425SB, RG425SD, RG425SE, RG425SF, RG426AA, RG426AB, RG426AD, RG426AE, RG426AF, RG426AG, RG426AH, RG426AJ, RG426AL, RG426AN, RG426AP, RG426AQ, RG426AR, RG426AS, RG426AT, RG426AU, RG426AW, RG426AX, RG426AY, RG426AZ, RG426BA, RG426BB, RG426BD, RG426BE, RG426BF, RG426BG, RG426BJ, RG426BL, RG426BQ, RG426BR, RG426BW, RG426BZ, RG426DE, RG426DJ, RG426DL, RG426DN, RG426DY, RG426EA, RG426EB, RG426ED, RG426EE, RG426EG, RG426EH, RG426EJ, RG426EL, RG426EN, RG426EP, RG426EQ, RG426ER, RG426ES, RG426ET, RG426EU, RG426EX, RG426EY, RG426HB, RG426HD, RG426HE, RG426HL, RG426JQ"
"E01021606","5 Industrious communities","5a Ageing urban communities",88,89,96,"59927",2.8,"Urban city and town",51.7301038062284,65.9575471698113,"CM3 5WU, CM3 5WZ, CM3 5ZH, CM3 5ZJ, CM3 5ZW, CM3 7AB, CM3 7AD, CM3 7AE, CM3 7AF, CM3 7AG, CM3 7AH, CM3 7AJ, CM3 7AL, CM3 7AN, CM3 7AQ, CM3 7AU, CM3 7AW, CM3 7AY, CM3 7AZ, CM3 7BB, CM3 7BD, CM3 7BE, CM3 7BF, CM3 7BG, CM3 7BL, CM3 7BR"
"E01027141","8 Suburban living","8c Comfortable suburbia",78,75,96,"51198",2.7,"Urban city and town",76.0213143872114,74.9782135076253,"NN3 9BG, NN3 9BL, NN3 9BP, NN3 9BQ, NN3 9BY, NN3 9DN, NN3 9EE, NN3 9EF, NN3 9EG, NN3 9EL, NN3 9EP, NN3 9EQ, NN3 9ES, NN3 9FD, NN3 9GA, NN3 9GB, NN3 9GD, NN3 9GE, NN3 9GF, NN3 9GG, NN3 9GH, NN3 9HA, NN3 9HJ, NN3 9JQ, NN3 9TL, NN3 9TN, NN3 9TQ, NN3 9TU, NN3 9XD, NN3 9YW"
"E01021384","8 Suburban living","8c Comfortable suburbia",76,82,96,"47144",2.8,"Urban city and town",83.01329394387,67.6930455635492,"CM777AE, CM777DG, CM777FD, CM777FY, CM777FZ, CM777GB, CM777GN, CM777GY, CM777QA, CM777QB, CM777UA, CM777UB, CM777UH, CM777UJ, CM777UL, CM777UN, CM777UR, CM777UT, CM777UU, CM777UX, CM777UY, CM777UZ, CM777WE, CM777WF, CM777WH, CM777WY, CM777XA, CM777XB, CM777XD, CM777XG, CM777YA, CM777YJ, CM777YL, CM777YP, CM777YQ, CM777YT, CM777YX, CM777YY, CM777YZ, CM777ZA, CM777ZJ, CM777ZY"
"E01016672","8 Suburban living","8c Comfortable suburbia",76,78,96,"57930",2.5,"Urban city and town",81.4671814671815,70.5882352941177,"RG401BF, RG401EF, RG401EH, RG401EJ, RG401EL, RG401GB, RG401LE, RG401LG, RG401LH, RG401LJ, RG401LL, RG401LR, RG401PE, RG401QZ, RG401RE, RG401RG, RG401RH, RG401RJ, RG401RL, RG401RN, RG401RP, RG401RQ, RG401RR, RG401RT, RG401RW, RG401RX, RG401RY, RG401RZ, RG401SA, RG401SB, RG401SD, RG401SE, RG401SF, RG401SL, RG401SN, RG401YY, RG401YZ, RG405PQ, RG405PS, RG405PT"
"E01016245","3 Ethnically diverse professionals","3a Achieving neighbourhoods",73,81,96,"79218.5",2.7,"Urban city and town",67.0761670761671,66.0805785123967,"RG122BZ, RG122DZ, RG122ED, RG122HR, RG122HW, RG122JS, RG122LW, RG122PL, RG122QX, RG122QY, RG122QZ, RG122RA, RG422FB, RG422FD, RG422FE, RG422FG, RG422FQ, RG422JP, RG422JR, RG422JS, RG423DQ, RG423DS, RG423DT, RG423DU, RG423DW, RG423DX, RG423DZ, RG423RZ, RG423SA, RG423SB, RG423SD, RG423SE, RG423SF, RG423SG, RG423SH, RG423SJ, RG423SL, RG423SN, RG423SP, RG423SQ, RG423SS, RG423ST, RG423SU, RG423SX, RG423SZ, RG423TP, RG423TR"
"E01019412","8 Suburban living","8c Comfortable suburbia",72,72,96,"48860.5",2.7,"Urban city and town",100,70.4061696658098,"DE560AD, DE560AE, DE560AF, DE560AH, DE560DP, DE560DS, DE560EL, DE560EN, DE560EQ, DE560EY, DE560FB, DE560FD, DE560FE, DE560FF, DE560HG, DE560HH, DE560HJ, DE560HL, DE560HP, DE560HR, DE560HT, DE560HX, DE560HY, DE560HZ, DE560JB, DE560JG, DE560JH, DE560JJ, DE560JQ, DE560LD, DE560QL, DE560QN, DE560UR, DE561TL, DE561TW, DE561TY, DE562AA"
"E01023459","8 Suburban living","8a Affluent communities",70,78,96,"53325.5",2.6,"Urban city and town",75.4480286738351,64.7441860465116,"CM234BH, CM234BQ, CM234JD, CM234JE, CM234JF, CM234JH, CM234JL, CM234JN, CM234JP, CM234JT, CM234JU, CM234JW"
"E01017801","8 Suburban living","8a Affluent communities",100,99,95,"76764",2.8,"Urban city and town",100,66.3709198813056,"HP100LL, HP100LP, HP9 1BA, HP9 1BB, HP9 1BD, HP9 1BF, HP9 1BU, HP9 1DA, HP9 1DB, HP9 1DD, HP9 1DE, HP9 1DF, HP9 1DN, HP9 1DW, HP9 1EA, HP9 1ED, HP9 1EE, HP9 1EH, HP9 1EJ, HP9 1EL, HP9 1EN, HP9 1EP, HP9 1EQ, HP9 1ER, HP9 1ES, HP9 1ET, HP9 1EU, HP9 1EW, HP9 1EX, HP9 1EY, HP9 1EZ, HP9 1FU, HP9 1FZ, HP9 1GG, HP9 1GN, HP9 1SE, HP9 1SW, HP9 1TR, HP9 1TS, HP9 1TT, HP9 1TU, HP9 1TX, HP9 1TY, HP9 1TZ, HP9 1UB, HP9 1UD, HP9 1UG, HP9 1UQ, HP9 1XB, HP9 1XD, HP9 1XE, HP9 1XF, HP9 1YT"
